experiment,ID,anonID,importId,goal,goal_type,first_move_serves_goal,stepwise_salience,euclidean_salience,random_stepwise_salience,random_euclidean_salience
E1,91484.0,,91484.0,fill nocolor C1,fill,1.0,4,3.1622776601683795,6.781,5.343890121822279
E1,91484.0,,91484.0,fill nocolor A2,fill,1.0,3,2.23606797749979,6.681,5.247252588154195
E1,91484.0,,91484.0,cover green all,cover,0.0,10,10.0,8.393,8.055888394753405
E1,91484.0,,91484.0,cover red all,cover,1.0,2,1.4142135623730951,8.484,8.131575686030349
E1,91484.0,,91484.0,move red A,move,1.0,2,2.0,6.579,5.168524417537352
E1,91484.0,,91484.0,uncover red all,uncover,1.0,1,1.0,8.282,7.930313888693015
E1,91484.0,,91484.0,clear nocolor A2,clear,1.0,1,1.0,6.766,5.311244303922021
E1,91484.0,,91484.0,clear nocolor A1,clear,1.0,2,1.4142135623730951,6.676,5.267344471787521
E1,91484.0,,91484.0,move blue C,move,1.0,9,6.708203932499369,6.901,5.44694743468028
E1,91484.0,,91484.0,uncover green all,uncover,1.0,10,10.0,8.381,8.05581777453351
E1,98763.0,,98763.0,cover red all,cover,1.0,5,4.123105625617661,8.254,7.8565634560788515
E1,98763.0,,98763.0,clear nocolor A2,clear,1.0,2,1.4142135623730951,6.732,5.28578093206715
E1,98763.0,,98763.0,fill nocolor B1,fill,1.0,3,2.23606797749979,6.786,5.311246428150414
E1,98763.0,,98763.0,uncover blue all,uncover,1.0,0,0.0,8.357,7.980514602983944
E1,98763.0,,98763.0,move blue B2,move,0.0,2,1.4142135623730951,6.577,5.148461890059261
E1,98763.0,,98763.0,fill nocolor A2,fill,1.0,3,3.0,6.803,5.34870541204527
E1,98763.0,,98763.0,cover green all,cover,1.0,2,1.4142135623730951,8.126,7.743794209199579
E1,98763.0,,98763.0,move blue B,move,0.0,3,2.23606797749979,6.65,5.211506997012343
E1,98763.0,,98763.0,clear nocolor C,clear,1.0,10,8.246211251235321,6.687,5.22674567021179
E1,98763.0,,98763.0,uncover red all,uncover,1.0,2,1.4142135623730951,8.113,7.728743628947341
E1,33708.0,,33708.0,fill nocolor A1,fill,1.0,2,2.0,7.111,5.616688881105598
E1,33708.0,,33708.0,uncover green all,uncover,1.0,8,8.0,8.117,7.739696207960585
E1,33708.0,,33708.0,move blue A1,move,0.0,1,1.0,6.933,5.439621349592702
E1,33708.0,,33708.0,clear nocolor A,clear,0.0,8,6.324555320336759,6.977,5.443675784679346
E1,33708.0,,33708.0,cover green all,cover,1.0,13,12.041594578792296,7.947,7.587411728475908
E1,33708.0,,33708.0,clear nocolor C2,clear,1.0,1,1.0,7.137,5.629898546840343
E1,33708.0,,33708.0,fill nocolor B2,fill,1.0,3,2.23606797749979,7.173,5.644347060335164
E1,33708.0,,33708.0,cover red all,cover,1.0,4,3.1622776601683795,8.176,7.806538718642381
E1,33708.0,,33708.0,uncover blue all,uncover,1.0,2,1.4142135623730951,8.166,7.766419752077354
E1,33708.0,,33708.0,move blue B1,move,0.0,0,0.0,6.948,5.467840984923394
E1,51325.0,,51325.0,fill nocolor B2,fill,1.0,2,2.0,6.682,5.2673167623961685
E1,51325.0,,51325.0,uncover green all,uncover,1.0,6,5.0990195135927845,8.18,7.695957479801474
E1,51325.0,,51325.0,cover red all,cover,1.0,1,1.0,8.534,8.036906685045926
E1,51325.0,,51325.0,move red B,move,1.0,10,8.246211251235321,6.763,5.339482838167195
E1,51325.0,,51325.0,clear nocolor A1,clear,1.0,1,1.0,6.95,5.505812305752268
E1,51325.0,,51325.0,clear nocolor A,clear,1.0,8,7.0710678118654755,6.632,5.221646587744408
E1,51325.0,,51325.0,move green C2,move,1.0,3,2.23606797749979,6.694,5.304167458202589
E1,51325.0,,51325.0,fill nocolor C2,fill,1.0,16,16.0,6.819,5.407658343645705
E1,51325.0,,51325.0,cover green all,cover,1.0,1,1.0,8.441,7.970806406608419
E1,51325.0,,51325.0,uncover blue all,uncover,1.0,1,1.0,8.356,7.856638042659699
E1,42292.0,,42292.0,fill nocolor C1,fill,1.0,8,7.0710678118654755,7.065,5.424553585656697
E1,42292.0,,42292.0,move blue A2,move,1.0,5,4.123105625617661,6.856,5.2620769563104135
E1,42292.0,,42292.0,uncover blue all,uncover,1.0,2,2.0,8.06,7.614304589057365
E1,42292.0,,42292.0,cover green all,cover,0.0,7,6.082762530298219,8.396,7.9491737537004
E1,42292.0,,42292.0,fill nocolor C2,fill,1.0,17,16.0312195418814,6.898,5.316000683683503
E1,42292.0,,42292.0,uncover green all,uncover,1.0,9,9.0,7.907,7.467255621708754
E1,42292.0,,42292.0,clear nocolor B,clear,1.0,3,2.23606797749979,7.028,5.402965576577636
E1,42292.0,,42292.0,move blue C,move,1.0,4,2.8284271247461903,6.969,5.36022902009587
E1,42292.0,,42292.0,clear nocolor A1,clear,1.0,2,1.4142135623730951,7.164,5.518457051070669
E1,42292.0,,42292.0,cover red all,cover,1.0,2,2.0,7.939,7.490468779163975
E1,43580.0,,43580.0,fill nocolor A1,fill,1.0,6,5.0990195135927845,6.703,5.244590138081439
E1,43580.0,,43580.0,move green C1,move,1.0,4,3.1622776601683795,6.897,5.406485121949399
E1,43580.0,,43580.0,clear nocolor C,clear,1.0,6,4.47213595499958,6.884,5.381398472971696
E1,43580.0,,43580.0,uncover blue all,uncover,1.0,4,4.0,7.713,7.292297475240903
E1,43580.0,,43580.0,cover green all,cover,1.0,13,12.041594578792296,7.939,7.480420684213173
E1,43580.0,,43580.0,uncover red all,uncover,1.0,10,9.055385138137417,7.861,7.415331641511415
E1,43580.0,,43580.0,cover blue all,cover,0.0,1,1.0,7.731,7.299759409695066
E1,43580.0,,43580.0,move red C,move,1.0,5,3.605551275463989,6.768,5.292603292413158
E1,43580.0,,43580.0,fill nocolor B1,fill,1.0,3,2.23606797749979,6.817,5.3326113031661695
E1,43580.0,,43580.0,clear nocolor B2,clear,1.0,1,1.0,7.06,5.530454861731687
E1,14189.0,,14189.0,move red A,move,1.0,5,3.605551275463989,6.791,5.304668863389005
E1,14189.0,,14189.0,fill nocolor A2,fill,1.0,3,2.23606797749979,6.836,5.346436344236426
E1,14189.0,,14189.0,move green A1,move,1.0,3,3.0,6.744,5.254679514713267
E1,14189.0,,14189.0,uncover red all,uncover,1.0,3,3.0,8.28,7.851411914803753
E1,14189.0,,14189.0,clear nocolor C,clear,1.0,6,5.0990195135927845,6.939,5.407589897614531
E1,14189.0,,14189.0,cover green all,cover,1.0,15,14.035668847618199,7.871,7.436770419587332
E1,14189.0,,14189.0,uncover blue all,uncover,0.0,15,15.0,7.949,7.513088840784338
E1,14189.0,,14189.0,clear nocolor A2,clear,1.0,1,1.0,6.838,5.337655896943693
E1,14189.0,,14189.0,fill nocolor C2,fill,1.0,3,2.23606797749979,6.822,5.328749684516904
E1,14189.0,,14189.0,cover red all,cover,1.0,15,15.0,8.208,7.77842232276172
E1,19737.0,,19737.0,uncover green all,uncover,1.0,10,10.0,7.698,7.18703307920621
E1,19737.0,,19737.0,clear nocolor A,clear,1.0,8,7.0710678118654755,6.535,5.1060152876488765
E1,19737.0,,19737.0,cover green all,cover,1.0,12,11.045361017187261,7.946,7.470885757497008
E1,19737.0,,19737.0,move red B1,move,1.0,8,8.0,6.489,5.091646336170746
E1,19737.0,,19737.0,fill nocolor B1,fill,1.0,5,5.0,6.621,5.175196817499206
E1,19737.0,,19737.0,uncover red all,uncover,1.0,1,1.0,7.303,6.8291311630347336
E1,19737.0,,19737.0,move green C1,move,0.0,2,1.4142135623730951,6.417,5.015764857705694
E1,19737.0,,19737.0,cover blue all,cover,1.0,14,14.0,7.936,7.437920192326921
E1,19737.0,,19737.0,fill nocolor C2,fill,1.0,3,3.0,6.535,5.106299146110012
E1,19737.0,,19737.0,clear nocolor A1,clear,1.0,1,1.0,6.535,5.1299434567816355
E1,56864.0,,56864.0,clear nocolor C,clear,1.0,6,4.47213595499958,6.709,5.208060863360954
E1,56864.0,,56864.0,move red C1,move,0.0,8,7.0710678118654755,6.856,5.320599319491035
E1,56864.0,,56864.0,uncover blue all,uncover,1.0,11,11.0,7.705,7.35409455058159
E1,56864.0,,56864.0,clear nocolor B,clear,1.0,3,2.23606797749979,6.905,5.394899024054948
E1,56864.0,,56864.0,fill nocolor A2,fill,1.0,3,2.23606797749979,6.676,5.185208914214231
E1,56864.0,,56864.0,cover red all,cover,1.0,1,1.0,7.837,7.470566352877478
E1,56864.0,,56864.0,fill nocolor B1,fill,1.0,2,2.0,6.72,5.222796877003084
E1,56864.0,,56864.0,uncover red all,uncover,1.0,7,6.082762530298219,7.974,7.639003623168496
E1,56864.0,,56864.0,cover blue all,cover,1.0,1,1.0,8.176,7.797974754685167
E1,56864.0,,56864.0,move red B,move,1.0,6,4.47213595499958,6.731,5.233780216903154
E1,66473.0,,66473.0,cover red all,cover,1.0,2,1.4142135623730951,8.376,7.8987195697344195
E1,66473.0,,66473.0,fill nocolor B2,fill,1.0,9,9.0,6.857,5.348019809985766
E1,66473.0,,66473.0,uncover red all,uncover,1.0,12,11.045361017187261,8.3,7.839732150046988
E1,66473.0,,66473.0,fill nocolor C1,fill,1.0,6,6.0,7.061,5.50822815460158
E1,66473.0,,66473.0,move blue B,move,1.0,11,8.54400374531753,6.848,5.335911104387663
E1,66473.0,,66473.0,move blue A,move,0.0,6,4.242640687119285,6.848,5.332720279316949
E1,66473.0,,66473.0,uncover green all,uncover,1.0,14,13.038404810405298,8.226,7.763301127394858
E1,66473.0,,66473.0,clear nocolor A1,clear,1.0,0,0.0,6.872,5.333915837819994
E1,66473.0,,66473.0,clear nocolor C,clear,1.0,5,4.123105625617661,6.897,5.351080434579647
E1,66473.0,,66473.0,cover blue all,cover,1.0,0,0.0,8.044,7.5904500967892705
E1,67590.0,,67590.0,cover green all,cover,1.0,1,1.0,8.088,7.726876475483859
E1,67590.0,,67590.0,move blue C2,move,1.0,9,8.06225774829855,6.829,5.420778945651453
E1,67590.0,,67590.0,clear nocolor B,clear,1.0,6,4.242640687119285,6.817,5.420584249298485
E1,67590.0,,67590.0,uncover red all,uncover,1.0,1,1.0,7.951,7.562307705652174
E1,67590.0,,67590.0,fill nocolor B2,fill,1.0,3,2.23606797749979,6.818,5.427770110946989
E1,67590.0,,67590.0,clear nocolor C,clear,1.0,7,5.385164807134504,6.819,5.431277996513254
E1,67590.0,,67590.0,move red C1,move,1.0,3,2.23606797749979,6.728,5.368002772075435
E1,67590.0,,67590.0,fill nocolor C2,fill,1.0,3,2.23606797749979,6.809,5.431212500810418
E1,67590.0,,67590.0,uncover blue all,uncover,1.0,15,14.035668847618199,7.997,7.624248705818391
E1,67590.0,,67590.0,cover blue all,cover,1.0,1,1.0,8.111,7.723258758411916
E1,97388.0,,97388.0,uncover green all,uncover,1.0,0,0.0,7.774,7.212904638991048
