,,stepwise_salience,stepwise_salience,stepwise_salience,euclidean_salience,euclidean_salience,euclidean_salience,random_stepwise_salience,random_stepwise_salience,random_stepwise_salience,random_euclidean_salience,random_euclidean_salience,random_euclidean_salience
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
goal_type,experiment,,,,,,,,,,,,
clear,E1,3.191011235955056,2.759171268745113,178,2.5665814840177945,2.2086800881024056,178,6.730831460674157,0.23249723822939303,178,5.280167921153671,0.19672866624869542,178
clear,E2,3.2103448275862068,2.6307793295300335,290,2.5462364545209,2.040114299094565,290,6.73203448275862,0.22088530314605673,290,5.278628456131275,0.19742436162150842,290
cover,E1,6.162921348314606,4.99167401746186,178,5.7792748959721925,4.854840172311376,178,8.157747191011236,0.35705652928501336,178,7.715670123091029,0.342016515436769,178
cover,E2,3.5689655172413794,3.2968059879207656,290,3.249661448858576,3.206024355010859,290,8.19276551724138,0.38522814906819414,290,7.743624875634011,0.36679832901386883,290
fill,E1,4.455056179775281,3.0680975991943167,178,3.9850821505577154,2.9860347316431546,178,6.726033707865168,0.21282469109538585,178,5.275870267847221,0.1826685064731989,178
fill,E2,3.593103448275862,1.9491691131033129,290,3.126873766775173,1.840125173951818,290,6.73178275862069,0.2158937912805067,290,5.279667785883594,0.1924254123252705,290
move,E1,5.595505617977528,3.1861958654779214,178,4.837168728154028,2.97363192469935,178,6.718404494382022,0.21609229661802515,178,5.269704069535117,0.18452002058796663,178
move,E2,5.106896551724138,3.1478482830007604,290,4.357540591969827,2.9154365421858985,290,6.729137931034483,0.21198102091352067,290,5.278083473231652,0.1942450441065109,290
uncover,E1,6.191011235955056,4.8137665215677865,178,5.936431965825488,4.713882635480702,178,8.159983146067416,0.3790035921705514,178,7.717781545375088,0.35384896901936447,178
uncover,E2,3.9586206896551723,3.88302286923869,290,3.6785550435319307,3.7369322529258375,290,8.196682758620689,0.38216733419799725,290,7.7465761022944895,0.36997738554577364,290
