ID,config,goal,goal_optimal,goal_type,total_moves,moveIDs
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",fill nocolor C2,13,fill,23,"[(70, 68), (88, 50), (50, 87), (68, 69), (67, 88), (88, 67), (83, 89), (101, 71), (100, 88), (88, 100), (81, 88), (88, 81), (75, 51), (93, 33), (94, 88), (100, 70), (78, 52), (96, 34), (81, 53), (99, 16), (97, 35), (67, 17), (85, 15)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",move red C1,8,move,13,"[(97, 84), (78, 66), (66, 65), (94, 66), (73, 48), (74, 30), (92, 12), (75, 68), (100, 49), (81, 50), (91, 31), (95, 32), (70, 13)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",cover green all,5,cover,9,"[(107, 87), (78, 69), (83, 63), (96, 79), (94, 57), (73, 54), (74, 77), (91, 74), (74, 68)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",clear nocolor A2,4,clear,7,"[(75, 54), (67, 60), (94, 79), (105, 65), (95, 80), (70, 105), (93, 56)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",clear nocolor C1,6,clear,6,"[(67, 65), (85, 63), (86, 87), (102, 82), (104, 69), (103, 64)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",cover blue all,5,cover,5,"[(73, 54), (97, 60), (100, 80), (67, 65), (70, 89)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",move red A1,6,move,6,"[(94, 56), (67, 38), (97, 55), (100, 37), (102, 20), (70, 19)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",uncover green all,5,uncover,9,"[(72, 55), (98, 79), (67, 84), (70, 87), (87, 89), (81, 82), (88, 98), (78, 76), (75, 56)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",fill nocolor B2,13,fill,16,"[(67, 65), (97, 60), (98, 82), (60, 77), (85, 64), (78, 76), (76, 63), (77, 45), (95, 46), (75, 47), (86, 29), (74, 27), (102, 11), (94, 9), (103, 28), (96, 10)]"
20272,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'red', 'red', 'green', 'white', 'white', 'blue', 'white', 'white', 'green', 'white', 'blue', 'white', 'green', 'green', 'white', 'green', 'white', 'green', 'red', 'red', 'green', 'red', 'green', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'green', 'green', 'blue']",uncover blue all,6,uncover,9,"[(86, 87), (81, 69), (83, 82), (78, 79), (67, 84), (70, 89), (89, 70), (73, 77), (85, 66)]"
