"anonID","importId","goal","goal_number","goal_type","min_moves","move_id","move","move_utility","move_type","gameId","playerId"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,0,"(59, 60)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,1,"(77, 79)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,2,"(95, 61)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,3,"(58, 62)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,4,"(63, 44)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,5,"(81, 43)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,6,"(99, 42)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,7,"(100, 26)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,8,"(65, 25)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,9,"(83, 24)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,10,"(101, 8)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,11,"(76, 7)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"MtbTXANUqM","53968","fill nocolor B1",5,"fill",13,12,"(94, 6)",1,"useful","691fc807-0ec0-4f02-8bc7-96e2e099839e","13058"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,0,"(59, 56)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,1,"(75, 55)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,2,"(93, 54)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,3,"(94, 38)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,4,"(77, 37)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,5,"(95, 36)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,6,"(79, 18)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
"2LrXSxmseF","75842","fill nocolor A1",5,"fill",12,7,"(97, 19)",1,"useful","2f37f964-64c2-487c-adf5-e169f39ae3c7","13077"
