anonID,importId,goal,goal_number,goal_type,optimal_moves,move_id,move,move_utility
Tte8PJ8ss9,96815,clear nocolor A2,1,clear,5,0,"(57, 55)",1
Tte8PJ8ss9,96815,clear nocolor A2,1,clear,5,1,"(75, 72)",1
Tte8PJ8ss9,96815,clear nocolor A2,1,clear,5,2,"(93, 54)",1
Tte8PJ8ss9,96815,clear nocolor A2,1,clear,5,3,"(94, 38)",1
Tte8PJ8ss9,96815,clear nocolor A2,1,clear,5,4,"(95, 37)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,0,"(78, 76)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,1,"(96, 77)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,2,"(97, 59)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,3,"(80, 58)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,4,"(98, 41)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,5,"(81, 40)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,6,"(100, 39)",1
Tte8PJ8ss9,96815,clear nocolor B,2,clear,8,7,"(99, 23)",1
Tte8PJ8ss9,96815,cover blue all,3,cover,5,0,"(57, 72)",1
Tte8PJ8ss9,96815,cover blue all,3,cover,5,1,"(95, 76)",1
Tte8PJ8ss9,96815,cover blue all,3,cover,5,2,"(97, 60)",1
Tte8PJ8ss9,96815,cover blue all,3,cover,5,3,"(81, 62)",1
Tte8PJ8ss9,96815,cover blue all,3,cover,5,4,"(67, 69)",1
Tte8PJ8ss9,96815,cover red all,4,cover,6,0,"(56, 55)",1
Tte8PJ8ss9,96815,cover red all,4,cover,6,1,"(74, 39)",1
Tte8PJ8ss9,96815,cover red all,4,cover,6,2,"(78, 63)",1
Tte8PJ8ss9,96815,cover red all,4,cover,6,3,"(84, 82)",1
Tte8PJ8ss9,96815,cover red all,4,cover,6,4,"(102, 49)",1
Tte8PJ8ss9,96815,cover red all,4,cover,6,5,"(106, 89)",1
Tte8PJ8ss9,96815,fill nocolor A2,5,fill,13,0,"(57, 72)",-1
Tte8PJ8ss9,96815,fill nocolor A2,5,fill,13,1,"(56, 76)",1
Tte8PJ8ss9,96815,fill nocolor A2,5,fill,13,2,"(74, 77)",1
Tte8PJ8ss9,96815,fill nocolor A2,5,fill,13,3,"(73, 57)",1
Tte8PJ8ss9,96815,fill nocolor A2,5,fill,13,4,"(78, 59)",1
Tte8PJ8ss9,96815,fill nocolor A2,5,fill,13,5,"(72, 58)",1
Tte8PJ8ss9,96815,fill nocolor A2,5,fill,13,6,"(80, 41)",1
