anonID,importId,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
Tte8PJ8ss9,96815,clear nocolor A2,"(57, 55)",36,11,"[(94, 38) (94, 55) (94, 72) (95, 38) (95, 55) (95, 72) (94, 101) (95, 101)
 (57, 38) (57, 72) (94, 49) (94, 60) (94, 62) (94, 63) (94, 66) (94, 68)
 (94, 69) (94, 79) (94, 82) (94, 88) (94, 89) (95, 49) (95, 60) (95, 62)
 (95, 63) (95, 66) (95, 68) (95, 69) (95, 79) (95, 82) (95, 88) (95, 89)
 (57, 49) (57, 62) (57, 60) (57, 69)]",1.0,45,21.558,"['move blue C1', 'move red A1', 'uncover blue all', 'fill nocolor A1', 'move blue C2', 'move blue B2', 'move blue B', 'move blue A1', 'move blue B1', 'move blue C', 'clear nocolor A2']"
Tte8PJ8ss9,96815,clear nocolor B,"(78, 76)",45,14,"[(97, 38) (97, 39) (97, 49) (97, 55) (97, 66) (97, 68) (97, 69) (97, 72)
 (97, 76) (97, 77) (97, 88) (97, 89) (100, 38) (100, 39) (100, 49)
 (100, 55) (100, 66) (100, 68) (100, 69) (100, 72) (100, 76) (100, 77)
 (100, 88) (100, 89) (78, 38) (78, 66) (78, 68) (78, 77) (78, 88) (80, 39)
 (80, 49) (80, 55) (80, 89) (81, 38) (81, 66) (81, 68) (81, 77) (81, 88)
 (78, 49) (80, 68) (81, 49) (78, 39) (78, 55) (78, 69) (78, 72)]",1.0,60,29.767,"['move blue A', 'fill nocolor A2', 'move green A1', 'move green B2', 'clear nocolor B1', 'move green C', 'uncover green all', 'cover blue all', 'clear nocolor B', 'move green A2', 'move green A', 'move blue A2', 'move green C2', 'move green C1']"
Tte8PJ8ss9,96815,cover blue all,"(57, 72)",15,6,"[(95, 76) (97, 60) (97, 62) (106, 69) (107, 69) (57, 76) (73, 72) (90, 76)
 (94, 72) (95, 72) (100, 60) (100, 62) (73, 76) (81, 60) (84, 69)]",1.0,71,34.304,"['move red A1', 'fill nocolor A1', 'uncover red all', 'cover blue all', 'move blue A1', 'clear nocolor A2']"
Tte8PJ8ss9,96815,cover red all,"(56, 55)",57,9,"[(84, 49) (90, 55) (94, 39) (95, 39) (100, 63) (106, 89) (87, 89) (87, 49)
 (90, 39) (94, 55) (95, 55) (97, 63) (97, 82) (106, 49) (107, 49) (56, 39)
 (78, 63) (84, 89) (84, 63) (87, 39) (90, 49) (90, 63) (90, 82) (90, 89)
 (94, 49) (94, 63) (94, 82) (94, 89) (95, 49) (95, 63) (95, 82) (95, 89)
 (97, 39) (97, 49) (97, 55) (97, 89) (100, 39) (100, 49) (100, 55)
 (100, 89) (106, 39) (106, 55) (106, 63) (106, 82) (107, 39) (107, 55)
 (107, 63) (107, 82) (84, 39) (84, 55) (84, 82) (87, 55) (87, 63) (87, 82)
 (56, 49) (78, 49) (81, 49)]",1.0,74,36.42,"['move blue C1', 'uncover blue all', 'cover red all', 'move blue C2', 'move blue B2', 'move blue B', 'move blue B1', 'move blue A2', 'move blue C']"
Tte8PJ8ss9,96815,fill nocolor A2,"(57, 72)",253,6,"[(73, 39) (56, 76) (90, 39) (90, 76) (90, 77) (56, 39) (73, 76) (73, 77)
 (84, 77) (87, 76) (87, 39) (97, 39) (97, 76) (97, 77) (100, 39) (100, 76)
 (100, 77) (106, 39) (106, 76) (106, 77) (107, 39) (107, 76) (107, 77)
 (78, 77) (80, 39) (81, 77) (84, 39) (84, 76) (86, 39) (87, 77) (56, 77)
 (78, 39) (78, 76) (80, 76) (80, 77) (81, 39) (81, 76) (86, 76) (86, 77)
 (67, 77) (67, 39) (67, 76) (56, 72) (78, 79) (84, 68) (86, 49) (100, 101)
 (84, 49) (90, 38) (90, 55) (94, 39) (94, 77) (95, 39) (95, 76) (97, 60)
 (97, 62) (100, 63) (106, 69) (106, 89) (107, 69) (107, 88) (57, 76)
 (73, 38) (73, 72) (87, 88) (87, 89) (84, 88) (97, 101) (80, 63) (80, 82)
 (81, 79) (86, 89) (87, 49) (97, 63) (97, 82) (100, 60) (100, 62)
 (100, 79) (106, 49) (106, 66) (106, 68) (107, 49) (107, 66) (107, 68)
 (73, 49) (73, 63) (73, 82) (73, 89) (78, 63) (81, 60) (84, 38) (84, 69)
 (84, 79) (84, 89) (87, 60) (87, 62) (87, 66) (87, 68) (87, 72) (90, 101)
 (106, 101) (107, 101) (73, 62) (73, 68) (73, 101) (84, 60) (84, 63)
 (84, 101) (87, 38) (87, 101) (90, 49) (90, 60) (90, 62) (90, 63) (90, 66)
 (90, 68) (90, 69) (90, 79) (90, 82) (90, 88) (90, 89) (97, 38) (97, 49)
 (97, 55) (97, 66) (97, 68) (97, 69) (97, 72) (97, 88) (97, 89) (100, 38)
 (100, 49) (100, 55) (100, 66) (100, 68) (100, 69) (100, 72) (100, 88)
 (100, 89) (106, 38) (106, 55) (106, 60) (106, 62) (106, 63) (106, 72)
 (106, 79) (106, 82) (107, 38) (107, 55) (107, 60) (107, 62) (107, 63)
 (107, 72) (107, 79) (107, 82) (56, 60) (56, 62) (56, 69) (73, 60)
 (73, 66) (73, 69) (73, 79) (73, 88) (78, 38) (78, 66) (78, 68) (78, 88)
 (80, 49) (80, 55) (80, 89) (81, 38) (81, 66) (81, 68) (81, 88) (84, 55)
 (84, 62) (84, 72) (84, 82) (86, 55) (86, 63) (86, 82) (87, 55) (87, 63)
 (87, 79) (87, 82) (56, 49) (67, 66) (67, 68) (78, 49) (80, 68) (81, 49)
 (81, 101) (86, 62) (56, 55) (67, 38) (78, 62) (80, 60) (80, 79) (81, 82)
 (86, 66) (57, 77) (67, 60) (78, 101) (80, 101) (67, 88) (78, 82) (81, 62)
 (86, 69) (86, 88) (56, 101) (67, 69) (86, 101) (56, 63) (56, 66) (56, 68)
 (56, 79) (56, 82) (56, 88) (56, 89) (78, 55) (78, 69) (78, 72) (78, 89)
 (80, 38) (80, 66) (80, 69) (80, 72) (80, 88) (81, 55) (81, 69) (81, 72)
 (81, 89) (86, 38) (86, 60) (86, 72) (86, 79) (67, 79) (67, 62) (67, 63)
 (67, 72) (67, 89) (67, 101) (67, 55) (67, 82) (94, 38) (94, 55) (94, 72)
 (95, 38) (95, 55) (95, 72) (94, 101) (95, 101) (57, 38)]",-1.0,42,20.113,"['move red A1', 'fill nocolor A1', 'uncover red all', 'cover blue all', 'move blue A1', 'clear nocolor A2']"
Tte8PJ8ss9,96815,fill nocolor C2,"(67, 88)",27,12,"[(84, 88) (86, 89) (73, 89) (84, 69) (84, 89) (90, 69) (90, 88) (90, 89)
 (94, 69) (94, 88) (94, 89) (95, 69) (95, 88) (95, 89) (97, 69) (97, 88)
 (97, 89) (100, 69) (100, 88) (100, 89) (56, 69) (73, 69) (73, 88)
 (78, 88) (80, 89) (81, 88) (57, 69)]",1.0,42,20.451,"['move blue A', 'uncover blue all', 'move red C2', 'fill nocolor C2', 'move blue C2', 'move blue B2', 'move blue B', 'move blue A1', 'move blue B1', 'move blue A2', 'move green C2', 'clear nocolor C1']"
Tte8PJ8ss9,96815,move green B2,"(81, 76)",207,14,"[(97, 101) (97, 63) (97, 82) (78, 63) (95, 101) (106, 101) (84, 63)
 (84, 101) (95, 63) (95, 82) (106, 63) (106, 82) (84, 82) (86, 63)
 (86, 82) (78, 62) (78, 101) (78, 82) (56, 101) (67, 69) (86, 101)
 (56, 63) (56, 82) (78, 39) (78, 55) (78, 69) (78, 72) (78, 76) (78, 89)
 (67, 39) (67, 62) (67, 63) (67, 72) (67, 76) (67, 89) (67, 101) (67, 55)
 (67, 82) (56, 72) (78, 79) (84, 68) (86, 49) (100, 101) (84, 49) (90, 55)
 (94, 39) (95, 39) (95, 76) (97, 60) (97, 62) (100, 63) (106, 69)
 (106, 89) (107, 69) (57, 76) (73, 72) (87, 89) (73, 39) (84, 88) (56, 76)
 (80, 63) (80, 82) (86, 89) (90, 39) (90, 76) (94, 55) (94, 72) (95, 38)
 (95, 55) (95, 72) (100, 62) (106, 49) (106, 66) (106, 68) (56, 39)
 (73, 63) (73, 76) (73, 82) (73, 89) (84, 38) (84, 69) (84, 77) (84, 79)
 (84, 89) (87, 62) (87, 72) (87, 76) (90, 101) (94, 101) (107, 101)
 (57, 72) (73, 62) (73, 101) (84, 60) (87, 39) (87, 101) (90, 62) (90, 63)
 (90, 69) (90, 82) (90, 89) (94, 62) (94, 63) (94, 69) (94, 82) (94, 89)
 (95, 49) (95, 60) (95, 62) (95, 66) (95, 68) (95, 69) (95, 79) (95, 88)
 (95, 89) (97, 38) (97, 39) (97, 49) (97, 55) (97, 66) (97, 68) (97, 69)
 (97, 72) (97, 76) (97, 77) (97, 88) (97, 89) (100, 39) (100, 55)
 (100, 69) (100, 72) (100, 76) (100, 89) (106, 38) (106, 39) (106, 55)
 (106, 60) (106, 62) (106, 72) (106, 76) (106, 77) (106, 79) (107, 39)
 (107, 55) (107, 62) (107, 63) (107, 72) (107, 76) (107, 82) (56, 60)
 (56, 62) (56, 69) (73, 69) (78, 38) (78, 66) (78, 68) (78, 77) (78, 88)
 (80, 39) (80, 55) (80, 89) (84, 39) (84, 55) (84, 62) (84, 72) (84, 76)
 (86, 39) (86, 55) (87, 55) (87, 63) (87, 82) (56, 49) (57, 62) (67, 66)
 (67, 68) (78, 49) (81, 101) (86, 62) (56, 55) (57, 69) (67, 38) (81, 82)
 (86, 66) (67, 60) (57, 55) (80, 101) (56, 77) (67, 88) (81, 62) (86, 69)
 (86, 88) (57, 63) (57, 82) (57, 89) (56, 66) (56, 68) (56, 79) (56, 88)
 (56, 89) (57, 101) (80, 69) (80, 72) (80, 76) (81, 39) (81, 55) (81, 69)
 (81, 72)]",0.0,38,19.091,"['fill nocolor A2', 'move green A1', 'move red A', 'clear nocolor B2', 'move green B1', 'move green C', 'uncover green all', 'cover blue all', 'move red A2', 'clear nocolor B', 'move green A2', 'move green A', 'move green C2', 'move green C1']"
Tte8PJ8ss9,96815,move red C,"(57, 68)",25,14,"[(73, 49) (73, 89) (73, 68) (100, 49) (100, 66) (100, 68) (100, 69)
 (100, 88) (100, 89) (57, 49) (73, 66) (73, 69) (73, 88) (80, 49) (80, 89)
 (81, 66) (81, 68) (81, 88) (80, 68) (81, 49) (57, 69) (80, 60) (80, 79)
 (80, 101) (57, 89)]",1.0,37,18.354,"['move red C1', 'move blue C1', 'move red C', 'clear nocolor A', 'uncover blue all', 'fill nocolor C1', 'move blue C2', 'move blue B2', 'move blue B', 'move blue A1', 'move blue B1', 'move blue C', 'cover green all', 'clear nocolor A2']"
Tte8PJ8ss9,96815,uncover green all,"(78, 76)",20,14,"[(84, 69) (84, 89) (84, 101) (84, 39) (84, 55) (84, 62) (84, 72) (84, 76)
 (84, 82) (81, 101) (78, 62) (81, 82) (78, 101) (78, 82) (81, 62) (67, 69)
 (78, 39) (78, 55) (78, 69) (78, 72)]",1.0,36,17.812,"['move blue A', 'fill nocolor A2', 'move green A1', 'move green B2', 'clear nocolor B1', 'move green C', 'uncover green all', 'cover blue all', 'clear nocolor B', 'move green A2', 'move green A', 'move blue A2', 'move green C2', 'move green C1']"
Tte8PJ8ss9,96815,uncover red all,"(80, 79)",16,9,"[(57, 76) (73, 38) (73, 72) (73, 76) (73, 77) (57, 38) (57, 72) (73, 101)
 (73, 60) (73, 66) (73, 69) (73, 79) (73, 88) (57, 60) (57, 69) (80, 60)]",1.0,40,19.84,"['move red C1', 'move red C', 'move red A1', 'move red A', 'move red B2', 'move red C2', 'uncover red all', 'move red A2', 'cover green all']"
