ID,importId,goal,config,moveIDs,goal_type,ID_folder
mcubaalemdia,97388,clear nocolor B,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(79, 77),(96, 59),(97, 41),(101, 85),(99, 102),(64, 84),(82, 66),(100, 67)]",clear,mcubaalemdia
mcubaalemdia,97388,clear nocolor C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(69, 50),(87, 55),(88, 32),(89, 37),(107, 54),(106, 36),(105, 19)]",clear,mcubaalemdia
mcubaalemdia,97388,cover blue all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(73, 74),(72, 57),(64, 83),(69, 71)]",cover,mcubaalemdia
mcubaalemdia,97388,cover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(72, 55),(96, 40),(68, 77),(101, 61),(86, 81),(103, 46)]",cover,mcubaalemdia
mcubaalemdia,97388,fill nocolor B1,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(58, 78),(95, 60),(76, 42),(75, 24),(94, 6),(93, 61),(99, 98),(64, 80),(82, 62),(100, 44),(101, 43),(92, 25),(73, 7),(72, 26),(91, 8)]",fill,mcubaalemdia
mcubaalemdia,97388,fill nocolor C2,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(68, 70),(73, 71),(72, 53),(91, 52),(92, 51),(90, 33),(58, 34),(76, 35),(75, 17),(94, 16),(95, 15)]",fill,mcubaalemdia
mcubaalemdia,97388,move blue B,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(92, 81),(75, 63),(68, 70),(89, 45),(70, 89),(88, 71),(106, 27),(86, 46),(69, 106),(87, 88),(105, 83),(104, 65),(58, 77),(76, 59),(94, 47)]",move,mcubaalemdia
mcubaalemdia,97388,move blue C,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(101, 102),(64, 81),(82, 63),(100, 84),(75, 85),(58, 77),(76, 59),(94, 66),(92, 67)]",move,mcubaalemdia
mcubaalemdia,97388,uncover green all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(73, 74),(69, 83),(89, 102),(72, 56)]",uncover,mcubaalemdia
mcubaalemdia,97388,uncover red all,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'green', 'green', 'white', 'white', 'green', 'red', 'white', 'blue', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'blue', 'green', 'green', 'blue', 'green', 'green', 'blue', 'red', 'blue', 'red', 'green', 'red', 'white', 'red', 'blue', 'blue', 'white', 'green', 'blue', 'blue', 'blue', 'green']","[(75, 74),(79, 98),(64, 83),(58, 102)]",uncover,mcubaalemdia
